UF,Classe,month,seasonal_factor,var
AM,industrial,3,0.9926500497546616,8734809709.0
AM,industrial,4,0.9922523223792156,8596888184.333332
AM,industrial,5,1.0227327021520407,9414258261.333332
AM,industrial,6,0.968724423740812,8597952048.0
AM,industrial,7,1.0255064631989832,9810272216.333332
AM,industrial,8,1.0586418023351762,10752170644.333332
AM,industrial,9,1.027128880973368,10079465087.323334
AM,industrial,10,1.080521973275303,11323901016.333332
AM,industrial,11,1.0119424101090937,9888907527.0
AM,industrial,12,0.8818406203100776,7328856586.23
AM,outros,1,0.9111383270630694,251611012.3333333
AM,outros,2,0.9174652682192826,277825107.0
AM,outros,3,0.9720909962315696,293240600.3333333
AM,outros,4,1.025329030830412,344213992.3333333
AM,outros,5,1.082683105214895,418361457.0
AM,outros,6,0.9535452969688406,230594370.3333333
AM,outros,7,1.0050663549713872,292047553.0
AM,outros,8,1.0362071359781764,309910057.3333333
AM,outros,9,1.0366210919794752,315938475.73
AM,outros,10,1.0418872708823603,299643350.3333333
AM,outros,11,1.009382316689473,261225396.3333333
AM,outros,12,1.008583804971059,309723378.37
AM,residencial,1,0.9354409498055016,5158435592.0
AM,residencial,2,0.9199695051739136,5072359920.5
AM,residencial,3,0.902866462065888,5211694512.5
AM,residencial,4,0.9237986766660414,5360990604.5
AM,residencial,5,0.9985382675799392,6589979208.0
AM,residencial,6,0.9934577617549336,6729972144.5
AM,residencial,7,1.0192449766996092,6944193400.5
AM,residencial,8,1.0495025061691592,8271809442.0
AM,residencial,9,1.1147399151701445,8948009088.0
AM,residencial,10,1.0531724973221224,7629336338.0
AM,residencial,11,1.0505283350215535,6891849608.0
AM,residencial,12,1.0387401465711927,7217530658.0
AM,rural,1,1.3498390421070434,668168.0
AM,rural,2,1.2829691356432154,733260.5
AM,rural,3,1.2694174270243,547058.0
AM,rural,4,1.2587537874553174,691488.0
AM,rural,5,1.2980759583659407,676284.5
AM,rural,6,0.8388729794266288,3020583.0
AM,rural,7,0.8874517819075494,3304112.333333333
AM,rural,8,0.8483517701546133,2975449.333333333
AM,rural,9,0.870878708744089,3254070.2633333337
AM,rural,10,0.8708638981335765,3074979.0
AM,rural,11,0.8756032934975687,3110662.333333333
AM,rural,12,0.835274001072097,2779879.93
AP,comercial,1,0.9407047418932768,70289129.76999998
AP,comercial,2,0.9526274742344456,78849781.94333333
AP,comercial,3,0.8738051808261736,56135546.62333333
AP,comercial,4,0.9636994115334292,74351597.17
AP,comercial,5,0.9992781132975396,77176056.81333336
AP,comercial,6,0.9526661467363632,69145405.02999999
AP,comercial,7,1.020818696865594,80281723.44333333
AP,comercial,8,1.0706211448349652,89077165.50999998
AP,comercial,9,1.0546726050441833,92484095.30333336
AP,comercial,10,1.1199556555311347,95492929.33333331
