,Coluna1,DataExcel,SetorIndustrial,UF,Regiao,Consumo,DataVersao
78,20251201,2025-12-01,08 - EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS,RO,Norte,"484,31",23/02/2026
79,20251201,2025-12-01,08 - EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS,RR,Norte,"28,104",23/02/2026
80,20251201,2025-12-01,08 - EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS,RS,Sul,"4882,78",23/02/2026
81,20251201,2025-12-01,08 - EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS,SC,Sul,"7289,311",23/02/2026
82,20251201,2025-12-01,08 - EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS,SE,Nordeste,"13751,544",23/02/2026
83,20251201,2025-12-01,08 - EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS,SP,Sudeste,"34180,714",23/02/2026
84,20251201,2025-12-01,08 - EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS,TO,Norte,"2959,989",23/02/2026
85,20251201,2025-12-01,09 - ATIVIDADES DE APOIO À EXTRAÇÃO DE MINERAIS,AL,Nordeste,"1,856",23/02/2026
86,20251201,2025-12-01,09 - ATIVIDADES DE APOIO À EXTRAÇÃO DE MINERAIS,AM,Norte,87,23/02/2026
87,20251201,2025-12-01,09 - ATIVIDADES DE APOIO À EXTRAÇÃO DE MINERAIS,BA,Nordeste,2266,23/02/2026
88,20251201,2025-12-01,09 - ATIVIDADES DE APOIO À EXTRAÇÃO DE MINERAIS,CE,Nordeste,"1,601",23/02/2026
89,20251201,2025-12-01,09 - ATIVIDADES DE APOIO À EXTRAÇÃO DE MINERAIS,ES,Sudeste,"191,12",23/02/2026
90,20251201,2025-12-01,09 - ATIVIDADES DE APOIO À EXTRAÇÃO DE MINERAIS,GO,Centro-Oeste,345,23/02/2026
91,20251201,2025-12-01,09 - ATIVIDADES DE APOIO À EXTRAÇÃO DE MINERAIS,MA,Nordeste,"132,406",23/02/2026
92,20251201,2025-12-01,09 - ATIVIDADES DE APOIO À EXTRAÇÃO DE MINERAIS,MG,Sudeste,5,23/02/2026
93,20251201,2025-12-01,09 - ATIVIDADES DE APOIO À EXTRAÇÃO DE MINERAIS,MS,Centro-Oeste,"1,163",23/02/2026
94,20251201,2025-12-01,09 - ATIVIDADES DE APOIO À EXTRAÇÃO DE MINERAIS,MT,Centro-Oeste,"197,503",23/02/2026
95,20251201,2025-12-01,09 - ATIVIDADES DE APOIO À EXTRAÇÃO DE MINERAIS,PA,Norte,"769,77",23/02/2026
96,20251201,2025-12-01,09 - ATIVIDADES DE APOIO À EXTRAÇÃO DE MINERAIS,PE,Nordeste,"34,069",23/02/2026
97,20251201,2025-12-01,09 - ATIVIDADES DE APOIO À EXTRAÇÃO DE MINERAIS,PR,Sul,118,23/02/2026
98,20251201,2025-12-01,09 - ATIVIDADES DE APOIO À EXTRAÇÃO DE MINERAIS,RJ,Sudeste,"593,592",23/02/2026
99,20251201,2025-12-01,09 - ATIVIDADES DE APOIO À EXTRAÇÃO DE MINERAIS,RN,Nordeste,1315,23/02/2026
100,20251201,2025-12-01,09 - ATIVIDADES DE APOIO À EXTRAÇÃO DE MINERAIS,RO,Norte,"1255,527",23/02/2026
101,20251201,2025-12-01,09 - ATIVIDADES DE APOIO À EXTRAÇÃO DE MINERAIS,RR,Norte,"0,064",23/02/2026
102,20251201,2025-12-01,09 - ATIVIDADES DE APOIO À EXTRAÇÃO DE MINERAIS,RS,Sul,"8,799",23/02/2026
103,20251201,2025-12-01,09 - ATIVIDADES DE APOIO À EXTRAÇÃO DE MINERAIS,SC,Sul,"11,063",23/02/2026
104,20251201,2025-12-01,09 - ATIVIDADES DE APOIO À EXTRAÇÃO DE MINERAIS,SE,Nordeste,"18761,361",23/02/2026
105,20251201,2025-12-01,09 - ATIVIDADES DE APOIO À EXTRAÇÃO DE MINERAIS,SP,Sudeste,"2370,626",23/02/2026
106,20251201,2025-12-01,09 - ATIVIDADES DE APOIO À EXTRAÇÃO DE MINERAIS,TO,Norte,"17,372",23/02/2026
107,20251201,2025-12-01,10 - FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,AC,Norte,"2640,731",23/02/2026
108,20251201,2025-12-01,10 - FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,AL,Nordeste,"6379,927",23/02/2026
